index,comment,선호도,비속어,성,정치,국가,인종,지역,세대,사회계층,외모,기타혐오
268,샌안은걍 어린애고  두번째년 젖탱이지리네 개같은년,-1,1,0,0,0,0,0,0,0,0,0
465,미친 놈이네 ㅋㅋㅋㅋ,-1,1,0,0,0,0,0,0,0,0,0
1714,ㅋㅋ ㅂㅅ,-1,1,,,,,,,,,
4119,김릐철 나이 안먹냐? 시발 존나 예쁘게 생겼노 ㅋㅋ,-1,1,0,0,0,0,0,0,0,0,0
4235,뷰빔은 꼴림,-1,,,,,,,,,,
4279,빠구리 삼매경,-1,1,,,,,,,,,
4374,게이야...,-1,,,,,,,,,,
4437,남자끼리 키스하면 쾌감 2배인데 그 좋은걸 모르노 ㅋㅋ,-1,,,,,,,,,,
4502,보징어께임,-1,,,,,,,,,,
4752,와 보지가 두 개,-1,1,,,,,,,,,
4787,노무 북끄 현꿍타 모르냐,-1,,,,,,,,,,
4819,돈찐게이야,-1,,,,,,,,,,
4965,전랃느,-1,,,,,,,,,,
6,평생에 한 번 뿐인 결혼. 한녀랑 할거야? 제정신임?,0,1,1,0,0,0,0,0,0,0,0
8,여기 조산명 이러는새끼들 싹 다 독거틀딱들임,0,1,0,0,0,0,0,1,0,0,0
15,헬조선은 멸망해야만 한다,0,1,0,0,1,0,0,0,0,0,0
17,좌빨 혐일은 돈이 된다,0,0,0,1,1,0,0,0,0,0,0
20,짱개가 괜히 한국와서 노가다 뛰는게 아니지,0,1,0,0,0,1,0,0,0,0,0
21,유학갤러리는 뭐냐? 도피유학충들이 딸딸이 치는 곳임?,0,1,1,0,0,0,0,0,1,0,0
24,그냥 병무청 <<<< 이새끼들은 병신집단이 맞음,0,1,0,1,0,0,0,0,0,0,0
25,ㄴ 아가리 닥쳐라 더러운 조센징아,0,1,0,0,0,1,0,0,0,0,0
27,조선음악이라는 쓰레기가 더 퍼지지 않도록 하기위하여 스스로 할복,0,1,0,0,1,0,0,0,0,0,0
36,개씨발 판사 씨발 좆같은 대한민국,0,1,0,0,1,0,0,0,0,0,1
39,"(침수) 지하도 침수, 도로 침수, 아파트 침수 사고가 끊이지않는 이유는, 전문가들이 만든 안전한 계획을 뒤집고,  친일파들이 지들 땅쪽으로 길을 내기때문윤김한오세이돈 후쿠시마랑 땅거니 사건은 덮어지겠네?",0,0,0,1,0,0,0,0,0,0,0
40,가정교육을 제대로 못받고 애미애비가 자식에게 이상한 음식을 먹이면 저렇게 몸이 빨리 망가지는거임 ㅋㅋ,0,1,0,0,0,0,0,0,0,0,1
41,씹센징들은 국뽕없엇으면 뭘로 살아갓을까 ㅋㅋㅋㅋ 이젠 막 날조를해서 국뽕을 맥이네,0,1,0,0,1,1,0,0,0,0,0
44,한녀는 역대최악의 생명체다,0,1,1,0,0,0,0,0,0,0,0
45,중국이 페미니즘 잡는 동안 페메짓 한 조센 수듄,0,1,1,0,1,0,0,0,0,0,0
47,어차피 도태녀인데 왜사냐 얼른 죽자 빨리,0,1,1,0,0,0,0,0,0,0,0
54,솔직히 애비도 딸들 보면서 가끔 임신 마려울듯,0,1,1,0,0,0,0,0,0,0,0
56,지금 니들 때문에후진국 새끼들 들여와서 채워야 되는거 아냐양심이 있으면 좀 뒤져서 애국할 생각들 해라어차피 니들 동년배보다 소득 낮으면살아봐야 미래도 없어,0,1,0,0,1,0,0,0,1,0,0
57,조센 굴 = 똥싼징들 똥 섞인 음식물쓰레기 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,1,0,0,1,0,0,0,0,0,0
67,이러고도 철바퀴 타는 정신병자들 사회에서 격리 못하냐?,0,1,0,0,0,0,0,0,1,0,0
71,좋은데 씨발년아?,0,1,0,0,0,0,0,0,0,0,1
74,병신 루리웹 2중대 새끼들 시발 한방에 처 모아놓고 가스발사해서 다 조져버리고싶네,0,1,0,0,0,0,0,0,0,0,1
83,개조선이 미국에 있었다면 국가 형체도 유지못하고 오클라호마주에 끌려가서 인간전시당했을듯,0,1,0,0,1,0,0,0,0,0,0
92,병신같은 새끼들 300간격이면 하나 거르고 600간격으로 하는데 결속선이 좆으로 보이나 50프로 해라고 해서 대가리 에 상식도 없이 여기저기 지하고싶은데로 결속하니깐 문제인거지 약속한대로만 결속하면 50프로는 아무런 문제가 없음 늙은이의 고백? 좆까고있네 관리자 말이나좀 잘들어라 해가지고 다니는거는 어디 시발 거지새끼들처럼 해가지고 다니고 옳은일을 시키면 아무래도 좆같은 얼굴 일그러뜨리면서 아가리똥내 풀풀 풍기면서 대들기나하고 시발새끼들 화가 치밀어 오르네,0,1,0,0,0,0,0,0,0,0,1
95,이런 조선사회에서 문신충들은 얼마나 미개한거냐 대체 목과 눈가 귀 뒤에 문신을 처 하질 않나팔에 되지도 않는 레터링 ㅇㅈㄹ하지를 않나 이게 다 전생의 도둑놈 집안이었다는거지,0,1,0,0,0,0,0,0,0,0,1
99,부엉이 바위쪽으로 가자,0,0,0,1,0,0,0,0,0,0,0
100,"ㅇㅇ(210.145) =여기 실베에서 이 아이피를 가진 앰생은 자기는 미국에서 태어나면 주 40시간 연봉 1억 받는다고주장하는데 이 앰생은 미국에서 태어나면 아마 맥도날드 알바 하고 있을거다참고로 미국은 주마다 최저시급이 다른데 7달러부터 15달러까지 존나 다양하다가장 높은 시급 15달러 기준으로 하루에 16시간 근무(잠자는 시간 8시간)+1년 250일 일해야 연봉 6만 달러 = 77,943만원이 나옴",0,1,0,0,0,0,0,0,0,0,1
104,그런 센징 저능아들 보면 ㄹㅇ 쳐때리고 싶던데,0,1,0,0,1,0,0,0,0,0,0
137,짱개 벌레새끼들 발목잡기 약발 떨어졌쥬?ㅋㅋㅋㅋㅋㅋㅋㅋ,0,1,0,0,1,0,0,0,0,0,0
160,"""국제 경쟁력"" 높다며 기고만장하시던 한녀님들은 다 어디가고, 이젠 필사적으로 한남 국결 방해하는 난자 도태된 노괴만 남았누..",0,1,1,0,0,0,0,0,0,0,0
188,마지막에 한녀 먹고 4/10 점 주는건 왜 짤랐노,0,1,1,0,0,0,0,0,0,0,0
